Team Name,Games,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goal Percentage,2P Made,2P Attempted,2P Percentage,3P Made,3P Attempted,3P Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Total Points,Effective Field Goal %,Expected Possessions,Possessions,Box Plus/Minus,Opponent Field Goals Made,Opponent Field Goals Attempted,Opponent Field Goal Percentage,Opponent 2P Made,Opponent 2P Attempted,Opponent 2P Percentage,Opponent 3P Made,Opponent 3P Attempted,Opponent 3P Percentage,Opponent Free Throws Made,Opponent Free Throws Attempted,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Total Points,Opponent Effective Field Goal %
auburn,37,7425,1091,2287,0.477,755,1356,0.557,336,931,0.361,562,772,0.728,440,953,1393,602,250,221,345,680,3080,0.5505028421512899,68.42,71.098,8.9,869,2139,0.406,646,1386,0.466,223,753,0.296,598,818,0.731,399,838,1237,354,225,104,442,657,2559,0.4583917718560075, 8.9
alabama,37,7450,1147,2371,0.484,757,1267,0.597,390,1104,0.353,671,932,0.72,459,1108,1567,636,228,167,469,700,3355,0.566005904681569,75.43,78.5172,0.0,1074,2523,0.426,809,1650,0.49,265,873,0.304,594,837,0.71,462,902,1364,481,288,153,382,758,3007,0.4782005548949663
florida,38,7600,1136,2404,0.473,760,1352,0.562,376,1052,0.357,599,824,0.727,529,1065,1594,598,282,171,415,658,3247,0.5507487520798668,69.8,72.197,8.5,927,2315,0.4,673,1456,0.462,254,859,0.296,540,757,0.713,436,831,1267,425,245,114,446,660,2648,0.4552915766738661
duke,38,7600,1108,2236,0.496,721,1233,0.585,387,1003,0.386,576,729,0.79,405,1052,1457,648,255,149,356,602,3179,0.5820661896243292,65.99,68.453,9.8,856,2226,0.385,593,1371,0.433,263,855,0.308,403,554,0.727,384,781,1165,433,200,113,434,631,2378,0.4436208445642408, 9.8
tennessee,38,7600,967,2138,0.452,654,1211,0.54,313,927,0.338,566,760,0.745,437,945,1382,586,263,181,397,579,2813,0.525491113189897,64.01,67.0099,0.0,834,2161,0.386,558,1198,0.466,276,963,0.287,451,610,0.739,410,792,1202,392,224,111,436,674,2397,0.44979176307265156
houston,38,7725,1023,2254,0.454,713,1473,0.484,310,781,0.397,457,617,0.741,479,915,1394,468,299,172,342,616,2813,0.5226264418811003,62.85,65.3829,0.0,744,1948,0.382,488,1097,0.445,256,851,0.301,470,659,0.713,368,824,1192,429,184,99,509,604,2214,0.44763860369609854
purdue,36,7200,985,2027,0.486,688,1249,0.551,297,778,0.382,514,702,0.732,352,831,1183,574,230,59,375,570,2781,0.559200789343858,65.52,67.399,0.0,914,2024,0.452,645,1161,0.556,269,863,0.312,436,609,0.716,351,756,1107,530,213,106,418,644,2533,0.5180335968379447
texas-am,34,6850,857,2050,0.418,620,1277,0.486,237,773,0.307,586,847,0.692,543,852,1395,406,257,137,414,594,2537,0.47585365853658534,67.46,0,0.0,765,1884,0.406,475,1014,0.468,290,870,0.333,516,672,0.768,331,769,1100,495,263,184,451,676,2336,0.4830148619957537
st-johns-ny,36,7300,1054,2366,0.445,833,1632,0.51,221,734,0.301,496,718,0.691,535,952,1487,565,320,186,392,601,2825,0.4921808960270499,70.53,0,0.0,836,2107,0.397,573,1247,0.46,263,860,0.306,433,646,0.67,404,876,1280,462,235,136,547,626,2368,0.45918367346938777
iowa-state,35,7100,982,2034,0.483,714,1286,0.555,268,748,0.358,580,770,0.753,361,877,1238,524,325,120,420,566,2812,0.5486725663716814,69.48,0,0.0,841,2001,0.42,566,1183,0.478,275,818,0.336,435,580,0.75,340,760,1100,468,261,114,533,635,2392,0.4890054972513743
texas-tech,37,7525,1059,2274,0.466,688,1263,0.545,371,1011,0.367,504,663,0.76,438,933,1371,606,232,115,356,581,2993,0.547273526824978,67.13,69.2,0.0,897,2108,0.426,661,1379,0.479,236,729,0.324,503,705,0.713,369,844,1213,415,214,100,427,593,2533,0.4814990512333966
arizona,37,7450,1076,2268,0.474,810,1481,0.547,266,787,0.338,634,813,0.78,456,1014,1470,598,279,162,421,625,3052,0.533068783068783,70.02,72.7463,0.0,953,2274,0.419,634,1335,0.475,319,939,0.34,486,678,0.717,392,810,1202,495,229,105,425,655,2711,0.48922603342128407
memphis,35,7075,981,2078,0.472,721,1386,0.52,260,692,0.376,573,816,0.702,427,886,1313,505,271,166,486,624,2795,0.5346487006737247,71.32,73.6882,0.0,888,2118,0.419,607,1250,0.486,281,868,0.324,511,717,0.713,423,782,1205,481,268,128,477,650,2568,0.48559962228517467
kentucky,36,7225,1065,2211,0.482,724,1301,0.556,341,910,0.375,569,778,0.731,356,1013,1369,607,249,145,392,620,3040,0.5587969244685662,71.93,73.9955,0.0,990,2268,0.437,688,1277,0.539,302,991,0.305,498,695,0.717,364,907,1271,465,229,104,369,637,2780,0.5030864197530864
wisconsin,37,7425,991,2184,0.454,625,1132,0.552,366,1052,0.348,616,746,0.826,347,1003,1350,537,190,87,356,611,2964,0.5375457875457875,68.14,70.5507,0.0,937,2252,0.416,644,1372,0.469,293,880,0.333,455,624,0.729,366,893,1259,468,176,121,369,685,2622,0.4811278863232682
