Team Name,Possessions Per Game
Alabama,78.5172
Cal Poly,77.475
South Dakota,76.9733
Winthrop,76.7706
UCF,75.7081
Bryant,75.3739
N Florida,75.125
New Mexico,75.0658
Alabama A&M,75.0543
SC Upstate,75.0134
CS Northridge,74.7887
Akron,74.6356
W Kentucky,74.6317
Indiana St,74.5
Morgan St,74.4545
Illinois,74.4404
Tennessee St,74.4025
Fresno St,74.3023
Grand Canyon,74.2909
AR-Pine Bluff,74.0397
Kentucky,73.9955
Mercer,73.9899
Ohio,73.9552
Samford,73.9141
UMass,73.8802
Delaware St,73.7716
Southern Miss,73.7649
W Carolina,73.7491
Washington St,73.7471
Buffalo,73.7341
Oklahoma St,73.7054
Memphis,73.6882
Texas So,73.653
Dartmouth,73.6341
Cornell,73.6157
San Diego,73.573
S Carolina St,73.3996
UMBC,73.3767
St John's,73.3319
Georgia So,73.2996
Rhode Island,73.2158
Gonzaga,73.1236
Michigan,73.1159
Kennesaw St,72.99
North Carolina,72.95
Temple,72.948
Lindenwood,72.86
Iowa,72.8356
N Illinois,72.821
Prairie View,72.8036
Arizona St,72.803
Howard,72.8027
Fordham,72.7676
Columbia,72.761
Arizona,72.7463
Quinnipiac,72.7418
Rutgers,72.6961
Charleston,72.6937
UT Rio Grande,72.6773
NC Asheville,72.629
Florida Intl,72.6234
Penn St,72.5996
Middle Tenn,72.4762
Sacred Heart,72.4609
Jackson St,72.4515
S Florida,72.4371
Purdue FW,72.4329
Florida Atlantic,72.3966
UAB,72.3958
Arkansas St,72.3946
Arkansas,72.3903
LSU,72.3512
Florida St,72.3426
New Orleans,72.2706
Santa Clara,72.2662
Youngstown St,72.2277
Florida,72.197
Maryland,72.1639
William & Mary,72.1325
Abl Christian,72.0819
Southern,72.0172
Bucknell,71.9761
Belmont,71.9391
Bowling Green,71.9342
Mississippi St,71.9228
Gardner-Webb,71.9052
UC Irvine,71.9044
Charleston So,71.8854
Iowa St,71.875
S Utah,71.8518
Syracuse,71.8235
UTSA,71.8172
Miami OH,71.8164
Portland,71.8075
California,71.8049
Ohio St,71.784
Wichita St,71.7837
Vanderbilt,71.7693
Illinois Chicago,71.7319
Delaware,71.7243
Georgia Tech,71.7092
Kansas,71.7063
La Salle,71.6973
North Dakota,71.6933
Queens,71.692
Robert Morris,71.6919
Longwood,71.6659
Nebraska,71.6386
NC Central,71.6241
Georgia St,71.6199
Le Moyne,71.4975
Missouri,71.4879
SMU,71.4871
Mississippi,71.4566
Xavier,71.4419
S Dakota St,71.4272
Marshall,71.3984
Milwaukee,71.3938
Utah,71.3489
F Dickinson,71.3471
UC Riverside,71.2891
C Arkansas,71.2835
Utah Valley,71.2516
Alabama St,71.2454
Oklahoma,71.2195
Toledo,71.2148
Chicago St,71.1953
Stetson,71.1879
St Thomas,71.175
Bethune,71.1561
Indiana,71.1512
